Latitude,Longitude,Seagr bioregion,Habitat,Genus,Year obs [a AD],Seagr biom above dm [g/m**2],Seagr biom below dm [g/m**2],Seagr biom tot dm [g/m**2],Seagr shoot dens [#/m**2],Seagr cov [%],Seagr leaf dens [#/m**2],Seagr prod above dm [g/m**2/day],Seagr prod below dm [g/m**2/day],Seagr prod total dm [g/m**2/day],Seagr shoot prod dm [g/m**2/day],Seagr leaf prod dm [g/m**2/day],Reference
42.561,8.781,Mediterranean,Coastal,Posidonia,2014,,,,559,,,,,,,,Abadie et al. 2019
42.561,8.781,Mediterranean,Coastal,Posidonia,2014,,,,453,,,,,,,,Abadie et al. 2019
42.561,8.781,Mediterranean,Coastal,Posidonia,2014,,,,246,,,,,,,,Abadie et al. 2019
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,140,24.8,,,,,,,Adi et al. 2018
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,188,34.7,,,,,,,Adi et al. 2018
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,112,20.5,,,,,,,Adi et al. 2018
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Enhalus,2017,,,,4,1.5,,,,,,,Adi et al. 2018
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Enhalus,2017,,,,8,2.7,,,,,,,Adi et al. 2018
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Enhalus,2017,,,,12,4.7,,,,,,,Adi et al. 2018
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Syringodium,2017,,,,40,14.9,,,,,,,Adi et al. 2018
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Syringodium,2017,,,,84,7.3,,,,,,,Adi et al. 2018
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Syringodium,2017,,,,20,1.3,,,,,,,Adi et al. 2018
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,8,0.7,,,,,,,Adi et al. 2018
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,12,0.7,,,,,,,Adi et al. 2018
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,152,6.8,,,,,,,Adi et al. 2018
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Halodule,2017,,,,12,1.3,,,,,,,Adi et al. 2018
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Halodule,2017,,,,88,4,,,,,,,Adi et al. 2018
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Halodule,2017,,,,60,3.3,,,,,,,Adi et al. 2018
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Thalassia,2017,,,,,,,,,,,,Adi et al. 2018
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Thalassia,2017,,,,,,,,,,,,Adi et al. 2018
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Thalassia,2017,,,,24,5,,,,,,,Adi et al. 2018
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Halophila,2017,,,,,,,,,,,,Adi et al. 2018
